trial_id,page,term,value
29a3duf,__all__,static_design,0.7561332116391328
29a3duf,__all__,motion,0.24818009089836185
29a3duf,__all__,animation_judge,0.49000000000000005
29a3duf,__all__,reward,0.4981044341791649
29a3duf,index,static_design,0.7480764252840157
29a3duf,index,motion,0.20956357184442753
29a3duf,index,animation_judge,0.45
29a3duf,menu,static_design,0.7341375039681272
29a3duf,menu,motion,0.22281497357144217
29a3duf,menu,animation_judge,0.45
29a3duf,our-story,static_design,0.7235200547901077
29a3duf,our-story,motion,0.20667074584409245
29a3duf,our-story,animation_judge,0.55
29a3duf,events-private-dining,static_design,0.7313159007196266
29a3duf,events-private-dining,motion,0.2309556094713662
29a3duf,events-private-dining,animation_judge,0.45
29a3duf,reservations-contact,static_design,0.8436161734337868
29a3duf,reservations-contact,motion,0.37089555376048083
29a3duf,reservations-contact,animation_judge,0.55
FMq6pSQ,__all__,static_design,0.775093368088002
FMq6pSQ,__all__,motion,0.2581809903971946
FMq6pSQ,__all__,animation_judge,0.53
FMq6pSQ,__all__,reward,0.5210914528283989
FMq6pSQ,index,static_design,0.7746530227187004
FMq6pSQ,index,motion,0.18501069212562893
FMq6pSQ,index,animation_judge,0.55
FMq6pSQ,menu,static_design,0.8132739471290343
FMq6pSQ,menu,motion,0.2641422949637999
FMq6pSQ,menu,animation_judge,0.55
FMq6pSQ,our-story,static_design,0.7454993990899672
FMq6pSQ,our-story,motion,0.19850826883910197
FMq6pSQ,our-story,animation_judge,0.55
FMq6pSQ,events-private-dining,static_design,0.720575960913383
FMq6pSQ,events-private-dining,motion,0.16198938487146874
FMq6pSQ,events-private-dining,animation_judge,0.45
FMq6pSQ,reservations-contact,static_design,0.821464510588925
FMq6pSQ,reservations-contact,motion,0.48125431118597356
FMq6pSQ,reservations-contact,animation_judge,0.55
We79bs3,__all__,static_design,0.7887639531804881
We79bs3,__all__,motion,0.40089776874517435
We79bs3,__all__,animation_judge,0.53
We79bs3,__all__,reward,0.5732205739752209
We79bs3,index,static_design,0.7801228503884554
We79bs3,index,motion,0.2775411921713184
We79bs3,index,animation_judge,0.55
We79bs3,menu,static_design,0.7665259013298212
We79bs3,menu,motion,0.46867256792324813
We79bs3,menu,animation_judge,0.55
We79bs3,our-story,static_design,0.7640157567964039
We79bs3,our-story,motion,0.22165507657490693
We79bs3,our-story,animation_judge,0.55
We79bs3,events-private-dining,static_design,0.7561623289798366
We79bs3,events-private-dining,motion,0.47045768363762436
We79bs3,events-private-dining,animation_judge,0.45
We79bs3,reservations-contact,static_design,0.8769929284079232
We79bs3,reservations-contact,motion,0.5661623234187736
We79bs3,reservations-contact,animation_judge,0.55
ajgbZ2N,__all__,static_design,0.7744698575932943
ajgbZ2N,__all__,motion,0.6487580571894871
ajgbZ2N,__all__,animation_judge,0.55
ajgbZ2N,__all__,reward,0.6577426382609272
ajgbZ2N,index,static_design,0.7788228064651331
ajgbZ2N,index,motion,0.6923153738039973
ajgbZ2N,index,animation_judge,0.55
ajgbZ2N,menu,static_design,0.731862401234207
ajgbZ2N,menu,motion,0.8307278188421762
ajgbZ2N,menu,animation_judge,0.55
ajgbZ2N,our-story,static_design,0.7535303396140616
ajgbZ2N,our-story,motion,0.5922771948434697
ajgbZ2N,our-story,animation_judge,0.55
ajgbZ2N,events-private-dining,static_design,0.7377614337876768
ajgbZ2N,events-private-dining,motion,0.703666724119029
ajgbZ2N,events-private-dining,animation_judge,0.45
ajgbZ2N,reservations-contact,static_design,0.870372306865393
ajgbZ2N,reservations-contact,motion,0.4248031743387627
ajgbZ2N,reservations-contact,animation_judge,0.6499999999999999
ayxcgGQ,__all__,static_design,0.7497573183860793
ayxcgGQ,__all__,motion,0.11781061297936701
ayxcgGQ,__all__,animation_judge,0.5700000000000001
ayxcgGQ,__all__,reward,0.47918931045514873
ayxcgGQ,index,static_design,0.7611820857329541
ayxcgGQ,index,motion,0.1312717939335946
ayxcgGQ,index,animation_judge,0.55
ayxcgGQ,menu,static_design,0.734310071335865
ayxcgGQ,menu,motion,0.23395060577336232
ayxcgGQ,menu,animation_judge,0.55
ayxcgGQ,our-story,static_design,0.7192839110722443
ayxcgGQ,our-story,motion,0.07695707057738338
ayxcgGQ,our-story,animation_judge,0.55
ayxcgGQ,events-private-dining,static_design,0.7131102295375774
ayxcgGQ,events-private-dining,motion,0.036242750786095644
ayxcgGQ,events-private-dining,animation_judge,0.55
ayxcgGQ,reservations-contact,static_design,0.8209002942517554
ayxcgGQ,reservations-contact,motion,0.11063084382639918
ayxcgGQ,reservations-contact,animation_judge,0.6499999999999999
ccpgMSR,__all__,static_design,0.7907859585036027
ccpgMSR,__all__,motion,0.3246115560972634
ccpgMSR,__all__,animation_judge,0.51
ccpgMSR,__all__,reward,0.541799171533622
ccpgMSR,index,static_design,0.7707701044361088
ccpgMSR,index,motion,0.4998886941479114
ccpgMSR,index,animation_judge,0.55
ccpgMSR,menu,static_design,0.8311002073100461
ccpgMSR,menu,motion,0.12075060304684278
ccpgMSR,menu,animation_judge,0.45
ccpgMSR,our-story,static_design,0.7614074489780573
ccpgMSR,our-story,motion,0.38733903952919246
ccpgMSR,our-story,animation_judge,0.55
ccpgMSR,events-private-dining,static_design,0.7350803676345528
ccpgMSR,events-private-dining,motion,0.28206282131390253
