trial_id,page,term,value
2yefYRA,__all__,static_design,0.6884957670110955
2yefYRA,__all__,motion,0.5485305182642339
2yefYRA,__all__,animation_judge,0.55
2yefYRA,__all__,reward,0.5956754284251098
2yefYRA,index,static_design,0.7012113726246437
2yefYRA,index,motion,0.5674750034813645
2yefYRA,index,animation_judge,0.55
2yefYRA,platform-features,static_design,0.6745148763719843
2yefYRA,platform-features,motion,0.5979542393654025
2yefYRA,platform-features,animation_judge,0.55
2yefYRA,data-insights,static_design,0.6759153624721768
2yefYRA,data-insights,motion,0.5087331251549931
2yefYRA,data-insights,animation_judge,0.55
2yefYRA,community-partners,static_design,0.6830168813274379
2yefYRA,community-partners,motion,0.539166569781504
2yefYRA,community-partners,animation_judge,0.55
2yefYRA,get-started,static_design,0.707820342259235
2yefYRA,get-started,motion,0.5293236535379059
2yefYRA,get-started,animation_judge,0.55
8jKLhtM,__all__,static_design,0.7152652735238609
8jKLhtM,__all__,motion,0.4096085961819691
8jKLhtM,__all__,animation_judge,0.565
8jKLhtM,__all__,reward,0.5632912899019433
8jKLhtM,index,static_design,0.7035982547944524
8jKLhtM,index,motion,0.37728229755990705
8jKLhtM,index,animation_judge,0.55
8jKLhtM,platform-features,static_design,0.7361966198229195
8jKLhtM,platform-features,motion,0.335575506473502
8jKLhtM,platform-features,animation_judge,0.55
8jKLhtM,data-insights,static_design,0.700028010916598
8jKLhtM,data-insights,motion,0.36618981712766796
8jKLhtM,data-insights,animation_judge,0.525
8jKLhtM,community-partners,static_design,0.7091857161540935
8jKLhtM,community-partners,motion,0.4225089993648053
8jKLhtM,community-partners,animation_judge,0.55
8jKLhtM,get-started,static_design,0.7273177659312413
8jKLhtM,get-started,motion,0.5464863603839634
8jKLhtM,get-started,animation_judge,0.6499999999999999
CCsBgzc,__all__,static_design,0.7063381192110236
CCsBgzc,__all__,motion,0.7107340044562682
CCsBgzc,__all__,animation_judge,0.5900000000000001
CCsBgzc,__all__,reward,0.6690240412224306
CCsBgzc,index,static_design,0.7056042920268103
CCsBgzc,index,motion,0.8270073701771953
CCsBgzc,index,animation_judge,0.525
CCsBgzc,platform-features,static_design,0.6960067513202761
CCsBgzc,platform-features,motion,0.7440519494854565
CCsBgzc,platform-features,animation_judge,0.6499999999999999
CCsBgzc,data-insights,static_design,0.7119781520951796
CCsBgzc,data-insights,motion,0.6929275277828159
CCsBgzc,data-insights,animation_judge,0.55
CCsBgzc,community-partners,static_design,0.705078180385379
CCsBgzc,community-partners,motion,0.5589774603661025
CCsBgzc,community-partners,animation_judge,0.6499999999999999
CCsBgzc,get-started,static_design,0.7130232202274736
CCsBgzc,get-started,motion,0.7307057144697707
CCsBgzc,get-started,animation_judge,0.575
Dpg87u7,__all__,static_design,0.7235275857152488
Dpg87u7,__all__,motion,0.6534942260976464
Dpg87u7,__all__,animation_judge,0.575
Dpg87u7,__all__,reward,0.650673937270965
Dpg87u7,index,static_design,0.7080167605945822
Dpg87u7,index,motion,0.5566299379923396
Dpg87u7,index,animation_judge,0.55
Dpg87u7,platform-features,static_design,0.7486222329375598
Dpg87u7,platform-features,motion,0.5793011924323744
Dpg87u7,platform-features,animation_judge,0.575
Dpg87u7,data-insights,static_design,0.7217763327411169
Dpg87u7,data-insights,motion,0.6558711921691656
Dpg87u7,data-insights,animation_judge,0.55
Dpg87u7,community-partners,static_design,0.7242016086435408
