trial_id,page,term,value
5yiTdsB,__all__,static_design,0.6973502248798145
5yiTdsB,__all__,motion,0.1877544743213614
5yiTdsB,__all__,animation_judge,0.585
5yiTdsB,__all__,reward,0.49003489973372527
5yiTdsB,index,static_design,0.7154483292464776
5yiTdsB,index,motion,0.1484188873951956
5yiTdsB,index,animation_judge,0.6499999999999999
5yiTdsB,schedule,static_design,0.652384080793412
5yiTdsB,schedule,motion,0.13674569993465832
5yiTdsB,schedule,animation_judge,0.525
5yiTdsB,speakers,static_design,0.6998840816652776
5yiTdsB,speakers,motion,0.23550145699549413
5yiTdsB,speakers,animation_judge,0.55
5yiTdsB,workshops,static_design,0.684806596389371
5yiTdsB,workshops,motion,0.07993472955539895
5yiTdsB,workshops,animation_judge,0.55
5yiTdsB,register,static_design,0.7342280363045343
5yiTdsB,register,motion,0.33817159772605987
5yiTdsB,register,animation_judge,0.6499999999999999
JrriszZ,__all__,static_design,0.702826968214144
JrriszZ,__all__,motion,0.2428515170646144
JrriszZ,__all__,animation_judge,0.49000000000000005
JrriszZ,__all__,reward,0.47855949509291945
JrriszZ,index,static_design,0.7229776450666794
JrriszZ,index,motion,0.3960916151210252
JrriszZ,index,animation_judge,0.55
JrriszZ,schedule,static_design,0.6504998985423438
JrriszZ,schedule,motion,0.02982975302646538
JrriszZ,schedule,animation_judge,0.35
JrriszZ,speakers,static_design,0.6919713430018073
JrriszZ,speakers,motion,0.402629857133707
JrriszZ,speakers,animation_judge,0.45
JrriszZ,workshops,static_design,0.6962072988386063
JrriszZ,workshops,motion,0.3081786966404709
JrriszZ,workshops,animation_judge,0.55
JrriszZ,register,static_design,0.7524786556212832
JrriszZ,register,motion,0.07752766340140355
JrriszZ,register,animation_judge,0.55
KVUNneN,__all__,static_design,0.6801088647822
KVUNneN,__all__,motion,0.18309697483138412
KVUNneN,__all__,animation_judge,0.4699999999999999
KVUNneN,__all__,reward,0.44440194653786136
KVUNneN,index,static_design,0.7129736487833949
KVUNneN,index,motion,0.22768085575718935
KVUNneN,index,animation_judge,0.6499999999999999
KVUNneN,schedule,static_design,0.6403614950781279
KVUNneN,schedule,motion,0.21118223072543776
KVUNneN,schedule,animation_judge,0.325
KVUNneN,speakers,static_design,0.6822157828843303
KVUNneN,speakers,motion,0.1542019436762341
KVUNneN,speakers,animation_judge,0.42500000000000004
KVUNneN,workshops,static_design,0.6576283175540056
KVUNneN,workshops,motion,0.1972737302392704
KVUNneN,workshops,animation_judge,0.4
KVUNneN,register,static_design,0.7073650796111414
KVUNneN,register,motion,0.12514611375878887
KVUNneN,register,animation_judge,0.55
Uu4Sbe2,__all__,static_design,0.710363678765879
Uu4Sbe2,__all__,motion,0.04844750349730792
Uu4Sbe2,__all__,animation_judge,0.5050000000000001
Uu4Sbe2,__all__,reward,0.42127039408772904
Uu4Sbe2,index,static_design,0.7295451560878702
Uu4Sbe2,index,motion,0.11428880551671927
Uu4Sbe2,index,animation_judge,0.55
Uu4Sbe2,schedule,static_design,0.6930869416661117
Uu4Sbe2,schedule,motion,0.02183146897508215
Uu4Sbe2,schedule,animation_judge,0.42500000000000004
Uu4Sbe2,speakers,static_design,0.7045434566231776
Uu4Sbe2,speakers,motion,0.033979396295380694
Uu4Sbe2,speakers,animation_judge,0.55
Uu4Sbe2,workshops,static_design,0.717833534581461
Uu4Sbe2,workshops,motion,0.021645094777453033
Uu4Sbe2,workshops,animation_judge,0.45
Uu4Sbe2,register,static_design,0.7068093048707745
Uu4Sbe2,register,motion,0.050492751921904465
Uu4Sbe2,register,animation_judge,0.55
VzzZQKX,__all__,static_design,0.7137455634055236
VzzZQKX,__all__,motion,0.06099867477634631
VzzZQKX,__all__,animation_judge,0.51
VzzZQKX,__all__,reward,0.4282480793939567
VzzZQKX,index,static_design,0.731525739311136
VzzZQKX,index,motion,0.09162645244009263
VzzZQKX,index,animation_judge,0.55
VzzZQKX,schedule,static_design,0.695035382028347
VzzZQKX,schedule,motion,0.09398742337789491
VzzZQKX,schedule,animation_judge,0.45
VzzZQKX,speakers,static_design,0.7149515017284829
VzzZQKX,speakers,motion,0.054116829157014906
VzzZQKX,speakers,animation_judge,0.45
VzzZQKX,workshops,static_design,0.7122719901115071
VzzZQKX,workshops,motion,0.015427791260693944
VzzZQKX,workshops,animation_judge,0.55
VzzZQKX,register,static_design,0.7149432038481458
VzzZQKX,register,motion,0.049834877646035086
VzzZQKX,register,animation_judge,0.55
YpMuSpP,__all__,static_design,0.6961753784639652
YpMuSpP,__all__,motion,0.09424199644393653
YpMuSpP,__all__,animation_judge,0.54
YpMuSpP,__all__,reward,0.44347245830263393
YpMuSpP,index,static_design,0.7256164798400818
YpMuSpP,index,motion,0.10298637684983565
YpMuSpP,index,animation_judge,0.6499999999999999
YpMuSpP,schedule,static_design,0.6716248682529066
YpMuSpP,schedule,motion,0.08938484452523904
YpMuSpP,schedule,animation_judge,0.42500000000000004
YpMuSpP,speakers,static_design,0.6881316482901062
YpMuSpP,speakers,motion,0.1378419772686932
YpMuSpP,speakers,animation_judge,0.55
YpMuSpP,workshops,static_design,0.6945440453526847
YpMuSpP,workshops,motion,0.04660716462266933
YpMuSpP,workshops,animation_judge,0.525
YpMuSpP,register,static_design,0.7009598505840465
YpMuSpP,register,motion,0.09438961895324546
YpMuSpP,register,animation_judge,0.55
cJZpipu,__all__,static_design,0.6819644089251453
cJZpipu,__all__,motion,0.2856477899663965
cJZpipu,__all__,animation_judge,0.53
cJZpipu,__all__,reward,0.49920406629718067
cJZpipu,index,static_design,0.7164301368123266
cJZpipu,index,motion,0.40017603136315144
cJZpipu,index,animation_judge,0.55
cJZpipu,schedule,static_design,0.6435122806492855
cJZpipu,schedule,motion,0.16625768667138952
cJZpipu,schedule,animation_judge,0.55
cJZpipu,speakers,static_design,0.682044688523057
cJZpipu,speakers,motion,0.36448754952750684
cJZpipu,speakers,animation_judge,0.45
cJZpipu,workshops,static_design,0.6752794587996744
cJZpipu,workshops,motion,0.2523559929457005
cJZpipu,workshops,animation_judge,0.55
cJZpipu,register,static_design,0.6925554798413832
cJZpipu,register,motion,0.24496168932423437
cJZpipu,register,animation_judge,0.55
e23yPA6,__all__,static_design,0.7188445218991772
e23yPA6,__all__,motion,0.3265228454827698
e23yPA6,__all__,animation_judge,0.465
e23yPA6,__all__,reward,0.5034557891273157
e23yPA6,index,static_design,0.7159590653664187
e23yPA6,index,motion,0.2815297082774587
e23yPA6,index,animation_judge,0.325
e23yPA6,schedule,static_design,0.7172603234734117
e23yPA6,schedule,motion,0.3551535696358052
e23yPA6,schedule,animation_judge,0.45
e23yPA6,speakers,static_design,0.7159198468700998
e23yPA6,speakers,motion,0.3524776237607704
e23yPA6,speakers,animation_judge,0.55
e23yPA6,workshops,static_design,0.7094321848210025
e23yPA6,workshops,motion,0.23971733588403327
e23yPA6,workshops,animation_judge,0.55
e23yPA6,register,static_design,0.7356511889649534
e23yPA6,register,motion,0.4037359898557812
e23yPA6,register,animation_judge,0.45
ewTUjRN,__all__,static_design,0.6818568398874539
ewTUjRN,__all__,motion,0.06665951756625008
ewTUjRN,__all__,animation_judge,0.45999999999999996
ewTUjRN,__all__,reward,0.40283878581790133
ewTUjRN,index,static_design,0.7106144208873342
ewTUjRN,index,motion,0.0670514566272514
ewTUjRN,index,animation_judge,0.45
ewTUjRN,schedule,static_design,0.6274856258795993
ewTUjRN,schedule,motion,0.07880088007878347
ewTUjRN,schedule,animation_judge,0.3
ewTUjRN,speakers,static_design,0.6763581136357377
ewTUjRN,speakers,motion,0.06781399066176072
ewTUjRN,speakers,animation_judge,0.55
ewTUjRN,workshops,static_design,0.6815996647996814
ewTUjRN,workshops,motion,0.03673241443107497
ewTUjRN,workshops,animation_judge,0.45
ewTUjRN,register,static_design,0.7132263742349172
ewTUjRN,register,motion,0.08289884603237986
ewTUjRN,register,animation_judge,0.55
nzaMy7e,__all__,static_design,0.6755980596250886
nzaMy7e,__all__,motion,0.5319436720738999
nzaMy7e,__all__,animation_judge,0.55
nzaMy7e,__all__,reward,0.5858472438996628
nzaMy7e,index,static_design,0.7069078132799893
nzaMy7e,index,motion,0.6059651584031713
nzaMy7e,index,animation_judge,0.55
nzaMy7e,schedule,static_design,0.617669573484995
nzaMy7e,schedule,motion,0.40510463479962094
nzaMy7e,schedule,animation_judge,0.55
nzaMy7e,speakers,static_design,0.6874351270547213
nzaMy7e,speakers,motion,0.5935014146210766
