trial_id,page,term,value
8AgNqJQ,__all__,static_design,0.6743894461414348
8AgNqJQ,__all__,motion,0.18653007141700503
8AgNqJQ,__all__,animation_judge,0.55
8AgNqJQ,__all__,reward,0.4703065058528133
8AgNqJQ,index,static_design,0.6915678862880315
8AgNqJQ,index,motion,0.18391676429401568
8AgNqJQ,index,animation_judge,0.55
8AgNqJQ,services,static_design,0.6628832356775314
8AgNqJQ,services,motion,0.012508236124297661
8AgNqJQ,services,animation_judge,0.55
8AgNqJQ,portfolio,static_design,0.6610549146373972
8AgNqJQ,portfolio,motion,0.07524257645645628
8AgNqJQ,portfolio,animation_judge,0.55
8AgNqJQ,about,static_design,0.6754311147370764
8AgNqJQ,about,motion,0.6422839622879711
8AgNqJQ,about,animation_judge,0.55
8AgNqJQ,contact,static_design,0.6810100793671376
8AgNqJQ,contact,motion,0.01869881792228441
8AgNqJQ,contact,animation_judge,0.55
D5M8Auq,__all__,static_design,0.6786040718822475
D5M8Auq,__all__,motion,0.3991749421665376
D5M8Auq,__all__,animation_judge,0.53
D5M8Auq,__all__,reward,0.5359263380162618
D5M8Auq,index,static_design,0.6924247106947539
D5M8Auq,index,motion,0.33756408905327334
D5M8Auq,index,animation_judge,0.55
D5M8Auq,services,static_design,0.663958977114933
D5M8Auq,services,motion,0.2832271139125812
D5M8Auq,services,animation_judge,0.55
D5M8Auq,portfolio,static_design,0.6409939168744891
D5M8Auq,portfolio,motion,0.3446608426912394
D5M8Auq,portfolio,animation_judge,0.55
D5M8Auq,about,static_design,0.6731755025984573
D5M8Auq,about,motion,0.43344847687471416
D5M8Auq,about,animation_judge,0.55
D5M8Auq,contact,static_design,0.7224672521286042
D5M8Auq,contact,motion,0.5969741883008799
D5M8Auq,contact,animation_judge,0.45
Dqbfsaj,__all__,static_design,0.6792273895941935
Dqbfsaj,__all__,motion,0.1614304755855978
Dqbfsaj,__all__,animation_judge,0.57
Dqbfsaj,__all__,reward,0.47021928839326377
Dqbfsaj,index,static_design,0.6968786294179158
Dqbfsaj,index,motion,0.15140237020437575
Dqbfsaj,index,animation_judge,0.6499999999999999
Dqbfsaj,services,static_design,0.6839018522535266
Dqbfsaj,services,motion,0.11586526930032444
Dqbfsaj,services,animation_judge,0.6499999999999999
Dqbfsaj,portfolio,static_design,0.650721973192516
Dqbfsaj,portfolio,motion,0.2596365341216536
Dqbfsaj,portfolio,animation_judge,0.55
Dqbfsaj,about,static_design,0.6682606201580491
Dqbfsaj,about,motion,0.16048079902866597
Dqbfsaj,about,animation_judge,0.45
Dqbfsaj,contact,static_design,0.6963738729489598
Dqbfsaj,contact,motion,0.11976740527296928
Dqbfsaj,contact,animation_judge,0.55
HhKF2Dc,__all__,static_design,0.6740520348699869
HhKF2Dc,__all__,motion,0.21083925459916886
HhKF2Dc,__all__,animation_judge,0.5450000000000002
HhKF2Dc,__all__,reward,0.4766304298230519
HhKF2Dc,index,static_design,0.7124650536742034
HhKF2Dc,index,motion,0.2581894692592153
HhKF2Dc,index,animation_judge,0.55
HhKF2Dc,services,static_design,0.65091310325395
HhKF2Dc,services,motion,0.06822998144822157
HhKF2Dc,services,animation_judge,0.525
HhKF2Dc,portfolio,static_design,0.6516413764890322
HhKF2Dc,portfolio,motion,0.3337362636991745
HhKF2Dc,portfolio,animation_judge,0.55
HhKF2Dc,about,static_design,0.6671521057633156
HhKF2Dc,about,motion,0.07936965979223706
HhKF2Dc,about,animation_judge,0.55
HhKF2Dc,contact,static_design,0.688088535169433
HhKF2Dc,contact,motion,0.3146708987969958
HhKF2Dc,contact,animation_judge,0.55
MdvNhrY,__all__,static_design,0.6724912038208313
MdvNhrY,__all__,motion,0.2422598995521295
MdvNhrY,__all__,animation_judge,0.55
MdvNhrY,__all__,reward,0.48825036779098696
MdvNhrY,index,static_design,0.6770722728964567
MdvNhrY,index,motion,0.17454359990241936
MdvNhrY,index,animation_judge,0.55
MdvNhrY,services,static_design,0.6577672506767213
MdvNhrY,services,motion,0.08154722666474488
MdvNhrY,services,animation_judge,0.55
MdvNhrY,portfolio,static_design,0.6479036823035756
MdvNhrY,portfolio,motion,0.2451610287872845
MdvNhrY,portfolio,animation_judge,0.55
MdvNhrY,about,static_design,0.6901802202088574
MdvNhrY,about,motion,0.5914134033717608
MdvNhrY,about,animation_judge,0.55
MdvNhrY,contact,static_design,0.6895325930185453
MdvNhrY,contact,motion,0.11863423903443784
MdvNhrY,contact,animation_judge,0.55
TQLJSmM,__all__,static_design,0.6633762217783709
TQLJSmM,__all__,motion,0.38766933245867435
TQLJSmM,__all__,animation_judge,0.57
TQLJSmM,__all__,reward,0.5403485180790151
TQLJSmM,index,static_design,0.6693725526476224
TQLJSmM,index,motion,0.29086143157774946
TQLJSmM,index,animation_judge,0.6499999999999999
TQLJSmM,services,static_design,0.6627423855070703
TQLJSmM,services,motion,0.32737406827149373
TQLJSmM,services,animation_judge,0.55
TQLJSmM,portfolio,static_design,0.651447188718926
TQLJSmM,portfolio,motion,0.36586846191934597
TQLJSmM,portfolio,animation_judge,0.55
TQLJSmM,about,static_design,0.6408268122921472
TQLJSmM,about,motion,0.6256315982398828
TQLJSmM,about,animation_judge,0.55
TQLJSmM,contact,static_design,0.6924921697260877
TQLJSmM,contact,motion,0.32861110228489976
TQLJSmM,contact,animation_judge,0.55
UJEQjzT,__all__,static_design,0.6623779968288831
UJEQjzT,__all__,motion,0.02210650501483921
UJEQjzT,__all__,animation_judge,0.355
UJEQjzT,__all__,reward,0.3464948339479075
UJEQjzT,index,static_design,0.6759158731850667
UJEQjzT,index,motion,0.03166725875679697
UJEQjzT,index,animation_judge,0.45
UJEQjzT,services,static_design,0.6549073118968113
UJEQjzT,services,motion,0.0008633300857894814
UJEQjzT,services,animation_judge,0.325
UJEQjzT,portfolio,static_design,0.6437877395412281
UJEQjzT,portfolio,motion,0.07029569992583229
UJEQjzT,portfolio,animation_judge,0.325
UJEQjzT,about,static_design,0.6736937348275659
UJEQjzT,about,motion,0.006247377292594574
UJEQjzT,about,animation_judge,0.275
UJEQjzT,contact,static_design,0.6635853246937439
UJEQjzT,contact,motion,0.0014588590131827586
UJEQjzT,contact,animation_judge,0.4
X4wUjCA,__all__,static_design,0.685100245510623
X4wUjCA,__all__,motion,0.4646707916171241
X4wUjCA,__all__,animation_judge,0.57
X4wUjCA,__all__,reward,0.5732570123759158
X4wUjCA,index,static_design,0.71311834546483
X4wUjCA,index,motion,0.34070114820893416
X4wUjCA,index,animation_judge,0.6499999999999999
X4wUjCA,services,static_design,0.6626784049564172
X4wUjCA,services,motion,0.5938596771599068
X4wUjCA,services,animation_judge,0.55
X4wUjCA,portfolio,static_design,0.6725398677646478
X4wUjCA,portfolio,motion,0.5373041440677836
X4wUjCA,portfolio,animation_judge,0.55
X4wUjCA,about,static_design,0.6685378035254467
X4wUjCA,about,motion,0.5891452466355822
X4wUjCA,about,animation_judge,0.55
X4wUjCA,contact,static_design,0.7086268058417734
X4wUjCA,contact,motion,0.2623437420134137
X4wUjCA,contact,animation_judge,0.55
bzYKvpn,__all__,static_design,0.6681188909573034
bzYKvpn,__all__,motion,0.5039911274686748
bzYKvpn,__all__,animation_judge,0.555
bzYKvpn,__all__,reward,0.5757033394753261
bzYKvpn,index,static_design,0.6597805178298368
bzYKvpn,index,motion,0.5421707954956053
bzYKvpn,index,animation_judge,0.55
bzYKvpn,services,static_design,0.6708399713242877
bzYKvpn,services,motion,0.5339498444158692
bzYKvpn,services,animation_judge,0.55
bzYKvpn,portfolio,static_design,0.6280473436657945
bzYKvpn,portfolio,motion,0.5496036292710123
bzYKvpn,portfolio,animation_judge,0.55
bzYKvpn,about,static_design,0.6923482574171682
bzYKvpn,about,motion,0.7399581336086872
bzYKvpn,about,animation_judge,0.55
bzYKvpn,contact,static_design,0.6895783645494294
