trial_id,page,term,value
3AKTV9Z,__all__,static_design,0.7252400182527798
3AKTV9Z,__all__,motion,0.5921117217942136
3AKTV9Z,__all__,animation_judge,0.55
3AKTV9Z,__all__,reward,0.6224505800156644
3AKTV9Z,index,static_design,0.808171529234172
3AKTV9Z,index,motion,0.8536290811976963
3AKTV9Z,index,animation_judge,0.55
3AKTV9Z,documentation,static_design,0.7024852047209946
3AKTV9Z,documentation,motion,0.4606449457870867
3AKTV9Z,documentation,animation_judge,0.55
3AKTV9Z,api-reference,static_design,0.6934372963460264
3AKTV9Z,api-reference,motion,0.38454924557550846
3AKTV9Z,api-reference,animation_judge,0.55
3AKTV9Z,integrations,static_design,0.7024987048444165
3AKTV9Z,integrations,motion,0.6347661391046648
3AKTV9Z,integrations,animation_judge,0.55
3AKTV9Z,enterprise,static_design,0.7196073561182893
3AKTV9Z,enterprise,motion,0.6269691973061119
3AKTV9Z,enterprise,animation_judge,0.55
CMLSD5p,__all__,static_design,0.7298670949115026
CMLSD5p,__all__,motion,0.04611708577095918
CMLSD5p,__all__,animation_judge,0.5050000000000001
CMLSD5p,__all__,reward,0.42699472689415396
CMLSD5p,index,static_design,0.7962552754843738
CMLSD5p,index,motion,0.04478381825396759
CMLSD5p,index,animation_judge,0.525
CMLSD5p,documentation,static_design,0.6805932352754177
CMLSD5p,documentation,motion,0.06634623111890808
CMLSD5p,documentation,animation_judge,0.45
CMLSD5p,api-reference,static_design,0.763767622718441
CMLSD5p,api-reference,motion,0.044889988305615226
CMLSD5p,api-reference,animation_judge,0.45
CMLSD5p,integrations,static_design,0.7104487033891437
CMLSD5p,integrations,motion,0.027099373557322042
CMLSD5p,integrations,animation_judge,0.55
CMLSD5p,enterprise,static_design,0.6982706376901368
CMLSD5p,enterprise,motion,0.04746601761898297
CMLSD5p,enterprise,animation_judge,0.55
HQc45mm,__all__,static_design,0.7054423910529485
HQc45mm,__all__,motion,0.2510105683793319
HQc45mm,__all__,animation_judge,0.49000000000000005
HQc45mm,__all__,reward,0.4821509864774267
HQc45mm,index,static_design,0.8019723273836156
HQc45mm,index,motion,0.3515142162471613
HQc45mm,index,animation_judge,0.55
HQc45mm,documentation,static_design,0.6974752038746259
HQc45mm,documentation,motion,0.4310999005002281
HQc45mm,documentation,animation_judge,0.45
HQc45mm,api-reference,static_design,0.6665746035144076
HQc45mm,api-reference,motion,0.21561320669119652
HQc45mm,api-reference,animation_judge,0.55
HQc45mm,integrations,static_design,0.6990668889033319
HQc45mm,integrations,motion,0.09003241200439342
HQc45mm,integrations,animation_judge,0.45
HQc45mm,enterprise,static_design,0.6621229315887611
HQc45mm,enterprise,motion,0.1667931064536798
HQc45mm,enterprise,animation_judge,0.45
HXaJC3S,__all__,static_design,0.7136063938887942
HXaJC3S,__all__,motion,0.5137806361836532
HXaJC3S,__all__,animation_judge,0.57
HXaJC3S,__all__,reward,0.5991290100241492
HXaJC3S,index,static_design,0.8021619953354796
HXaJC3S,index,motion,0.9223700942787122
HXaJC3S,index,animation_judge,0.6499999999999999
HXaJC3S,documentation,static_design,0.6921036440892697
HXaJC3S,documentation,motion,0.47912037826906045
HXaJC3S,documentation,animation_judge,0.55
HXaJC3S,api-reference,static_design,0.6776525506355344
HXaJC3S,api-reference,motion,0.5679638243035765
HXaJC3S,api-reference,animation_judge,0.55
HXaJC3S,integrations,static_design,0.707173333637301
HXaJC3S,integrations,motion,0.30900506615220147
HXaJC3S,integrations,animation_judge,0.55
