trial_id,page,term,value
GaSq58z,__all__,structure,0.7186440326666836
GaSq58z,__all__,color,0.9596275651681602
GaSq58z,__all__,content,0.6364906691258604
GaSq58z,__all__,design_judge,0.735
GaSq58z,__all__,reward,0.762440566740176
GaSq58z,index,structure,0.7525852613258893
GaSq58z,index,color,0.930339494912285
GaSq58z,index,content,0.7965367965367965
GaSq58z,index,design_judge,0.8
GaSq58z,menu,structure,0.6934502292214636
GaSq58z,menu,color,0.9747445005028135
GaSq58z,menu,content,0.4269377382465057
GaSq58z,menu,design_judge,0.7
GaSq58z,about,structure,0.6961063540178156
GaSq58z,about,color,0.9535919774739465
GaSq58z,about,content,0.47892720306513414
GaSq58z,about,design_judge,0.7
GaSq58z,reservations,structure,0.7086902215582465
GaSq58z,reservations,color,0.9676132212314055
GaSq58z,reservations,content,0.6590909090909091
GaSq58z,reservations,design_judge,0.675
GaSq58z,contact,structure,0.7423880972100029
GaSq58z,contact,color,0.9718486317203501
GaSq58z,contact,content,0.8209606986899564
GaSq58z,contact,design_judge,0.8
KCpDEkL,__all__,structure,0.7184365110723355
KCpDEkL,__all__,color,0.9502187214825908
KCpDEkL,__all__,content,0.7369202889911535
KCpDEkL,__all__,design_judge,0.71
KCpDEkL,__all__,reward,0.77889388038652
KCpDEkL,index,structure,0.7514048176739871
KCpDEkL,index,color,0.9270960300202455
KCpDEkL,index,content,0.9465346534653465
KCpDEkL,index,design_judge,0.775
KCpDEkL,menu,structure,0.6805165729801742
KCpDEkL,menu,color,0.959637088553893
KCpDEkL,menu,content,0.5842450765864333
KCpDEkL,menu,design_judge,0.7
KCpDEkL,about,structure,0.7221019765155977
KCpDEkL,about,color,0.947936606326107
KCpDEkL,about,content,0.5754098360655738
KCpDEkL,about,design_judge,0.6
KCpDEkL,reservations,structure,0.6949354216028619
KCpDEkL,reservations,color,0.9549791114433634
KCpDEkL,reservations,content,0.6546830652790917
KCpDEkL,reservations,design_judge,0.6499999999999999
KCpDEkL,contact,structure,0.7432237665890565
KCpDEkL,contact,color,0.961444771069345
KCpDEkL,contact,content,0.923728813559322
KCpDEkL,contact,design_judge,0.825
YfRY3rU,__all__,structure,0.7160293007334098
YfRY3rU,__all__,color,0.9683119862582205
YfRY3rU,__all__,content,0.7237730610160543
YfRY3rU,__all__,design_judge,0.72
YfRY3rU,__all__,reward,0.7820285870019211
YfRY3rU,index,structure,0.7463506491344652
YfRY3rU,index,color,0.9339766613170033
YfRY3rU,index,content,0.9496981891348089
YfRY3rU,index,design_judge,0.775
YfRY3rU,menu,structure,0.6839034197278748
YfRY3rU,menu,color,0.98001251014308
YfRY3rU,menu,content,0.5476190476190477
YfRY3rU,menu,design_judge,0.675
YfRY3rU,about,structure,0.712806269853926
YfRY3rU,about,color,0.9734325039155741
YfRY3rU,about,content,0.6018440905280805
YfRY3rU,about,design_judge,0.6499999999999999
YfRY3rU,reservations,structure,0.6974589300397703
YfRY3rU,reservations,color,0.9784334549841653
YfRY3rU,reservations,content,0.6260869565217391
YfRY3rU,reservations,design_judge,0.7
YfRY3rU,contact,structure,0.7396272349110121
YfRY3rU,contact,color,0.9757048009312792
YfRY3rU,contact,content,0.8936170212765957
YfRY3rU,contact,design_judge,0.8
ZJAFwSi,__all__,structure,0.7306406869407395
ZJAFwSi,__all__,color,0.9688273038687513
ZJAFwSi,__all__,content,0.7136509677092533
ZJAFwSi,__all__,design_judge,0.7150000000000001
ZJAFwSi,__all__,reward,0.782029739629686
ZJAFwSi,index,structure,0.74440817843198
ZJAFwSi,index,color,0.9405988306718918
ZJAFwSi,index,content,0.9165048543689319
ZJAFwSi,index,design_judge,0.75
ZJAFwSi,menu,structure,0.7310574837664872
ZJAFwSi,menu,color,0.9783437885319842
ZJAFwSi,menu,content,0.571127502634352
ZJAFwSi,menu,design_judge,0.6499999999999999
ZJAFwSi,about,structure,0.6981959077931772
ZJAFwSi,about,color,0.9723996836019677
ZJAFwSi,about,content,0.5670926517571885
ZJAFwSi,about,design_judge,0.7
ZJAFwSi,reservations,structure,0.7288281228704241
ZJAFwSi,reservations,color,0.9788803155669029
ZJAFwSi,reservations,content,0.6418056918547597
ZJAFwSi,reservations,design_judge,0.675
ZJAFwSi,contact,structure,0.7507137418416291
ZJAFwSi,contact,color,0.9739139009710096
ZJAFwSi,contact,content,0.8717241379310345
ZJAFwSi,contact,design_judge,0.8
dqYb4au,__all__,structure,0.7040660528685373
dqYb4au,__all__,color,0.9604668618373008
dqYb4au,__all__,content,0.7270629070132959
dqYb4au,__all__,design_judge,0.7150000000000001
dqYb4au,__all__,reward,0.7766489554297835
dqYb4au,index,structure,0.7223177743871146
dqYb4au,index,color,0.93258698474231
dqYb4au,index,content,0.9465346534653465
dqYb4au,index,design_judge,0.8500000000000001
dqYb4au,menu,structure,0.6609090905177452
dqYb4au,menu,color,0.9733786298595399
dqYb4au,menu,content,0.5861690450054885
dqYb4au,menu,design_judge,0.6
dqYb4au,about,structure,0.6961943085425911
dqYb4au,about,color,0.962060918369068
dqYb4au,about,content,0.5297297297297298
dqYb4au,about,design_judge,0.65
dqYb4au,reservations,structure,0.6953800220785628
dqYb4au,reservations,color,0.9693698085989613
dqYb4au,reservations,content,0.6599597585513077
dqYb4au,reservations,design_judge,0.7
dqYb4au,contact,structure,0.7455290688166727
dqYb4au,contact,color,0.9649379676166251
dqYb4au,contact,content,0.9129213483146067
dqYb4au,contact,design_judge,0.775
eKKkQ9u,__all__,structure,0.7145382668784743
eKKkQ9u,__all__,color,0.9622883318247524
eKKkQ9u,__all__,content,0.6402976766911511
