trial_id,page,term,value
BMyDojV,__all__,structure,0.7698517156218337
BMyDojV,__all__,color,0.9595946881088274
BMyDojV,__all__,content,0.7165662900135797
BMyDojV,__all__,design_judge,0.745
BMyDojV,__all__,reward,0.7977531734360602
BMyDojV,index,structure,0.7702325692706841
BMyDojV,index,color,0.9602810055367502
BMyDojV,index,content,0.921259842519685
BMyDojV,index,design_judge,0.8
BMyDojV,about,structure,0.7869898173412022
BMyDojV,about,color,0.9578939009498533
BMyDojV,about,content,0.5139813581890813
BMyDojV,about,design_judge,0.625
BMyDojV,experience,structure,0.7519740056783464
BMyDojV,experience,color,0.9593325795983265
BMyDojV,experience,content,0.4661417322834646
BMyDojV,experience,design_judge,0.75
BMyDojV,projects,structure,0.7573045810822933
BMyDojV,projects,color,0.9627887324383431
BMyDojV,projects,content,0.857707509881423
BMyDojV,projects,design_judge,0.775
BMyDojV,contact,structure,0.782757604736643
BMyDojV,contact,color,0.9576772220208641
BMyDojV,contact,content,0.8237410071942446
BMyDojV,contact,design_judge,0.775
MN6qpvX,__all__,structure,0.7680919931227542
MN6qpvX,__all__,color,0.9693147218294029
MN6qpvX,__all__,content,0.7204321448019261
MN6qpvX,__all__,design_judge,0.745
MN6qpvX,__all__,reward,0.8007097149385208
MN6qpvX,index,structure,0.757928727406824
MN6qpvX,index,color,0.9692292304145061
MN6qpvX,index,content,0.8821192052980132
MN6qpvX,index,design_judge,0.75
MN6qpvX,about,structure,0.7994208765999883
MN6qpvX,about,color,0.970834504059648
MN6qpvX,about,content,0.520775623268698
MN6qpvX,about,design_judge,0.7
MN6qpvX,experience,structure,0.7540473326393331
MN6qpvX,experience,color,0.9694849595802724
MN6qpvX,experience,content,0.5304606240713226
MN6qpvX,experience,design_judge,0.7
MN6qpvX,projects,structure,0.7466620301644753
MN6qpvX,projects,color,0.969697409782704
MN6qpvX,projects,content,0.8297455968688845
MN6qpvX,projects,design_judge,0.725
MN6qpvX,contact,structure,0.7824009988031503
MN6qpvX,contact,color,0.9673275053098843
MN6qpvX,contact,content,0.8390596745027125
MN6qpvX,contact,design_judge,0.8500000000000001
NNG9xW8,__all__,structure,0.764088320647906
NNG9xW8,__all__,color,0.9536352724026351
NNG9xW8,__all__,content,0.7235258786555203
NNG9xW8,__all__,design_judge,0.74
NNG9xW8,__all__,reward,0.7953123679265153
NNG9xW8,index,structure,0.7577759230214427
NNG9xW8,index,color,0.9558949644299156
NNG9xW8,index,content,0.9109947643979057
NNG9xW8,index,design_judge,0.775
NNG9xW8,about,structure,0.7829437431668823
NNG9xW8,about,color,0.9548838817322252
NNG9xW8,about,content,0.5302713987473903
NNG9xW8,about,design_judge,0.6
NNG9xW8,experience,structure,0.74884514132667
NNG9xW8,experience,color,0.9542337733994023
NNG9xW8,experience,content,0.4883895131086142
NNG9xW8,experience,design_judge,0.775
