trial_id,page,term,value
72asDxZ,__all__,structure,0.8047508697846052
72asDxZ,__all__,color,0.9719874889818667
72asDxZ,__all__,content,0.7314955342557159
72asDxZ,__all__,design_judge,0.6928571428571428
72asDxZ,__all__,reward,0.8002727589698326
72asDxZ,index,structure,0.8068309170857262
72asDxZ,index,color,0.9677062107369873
72asDxZ,index,content,0.8815028901734104
72asDxZ,index,design_judge,0.75
72asDxZ,features,structure,0.8152686168924055
72asDxZ,features,color,0.9694849943353551
72asDxZ,features,content,0.7746319365798414
72asDxZ,features,design_judge,0.7
72asDxZ,pricing,structure,0.7876094514149066
72asDxZ,pricing,color,0.9653816113369285
72asDxZ,pricing,content,0.7111111111111111
72asDxZ,pricing,design_judge,0.6
72asDxZ,integrations,structure,0.7920179738623992
72asDxZ,integrations,color,0.9651590689540394
72asDxZ,integrations,content,0.5705583756345177
72asDxZ,integrations,design_judge,0.6499999999999999
72asDxZ,customers,structure,0.8108546277526797
72asDxZ,customers,color,0.9702211788309067
72asDxZ,customers,content,0.8710601719197707
72asDxZ,customers,design_judge,0.8
72asDxZ,about,structure,0.7900282290108473
72asDxZ,about,color,0.9859867186444
72asDxZ,about,content,0.5082266910420475
72asDxZ,about,design_judge,0.6
72asDxZ,contact,structure,0.8306462724732715
72asDxZ,contact,color,0.9799726400344497
72asDxZ,contact,content,0.8033775633293125
72asDxZ,contact,design_judge,0.75
LQH4vp7,__all__,structure,0.7935322772402845
LQH4vp7,__all__,color,0.9764242856902604
LQH4vp7,__all__,content,0.7066290249067506
LQH4vp7,__all__,design_judge,0.7035714285714285
LQH4vp7,__all__,reward,0.795039254102181
LQH4vp7,index,structure,0.7886345465900592
LQH4vp7,index,color,0.9773203973323216
LQH4vp7,index,content,0.7658914728682171
LQH4vp7,index,design_judge,0.8500000000000001
LQH4vp7,features,structure,0.8008072674882463
LQH4vp7,features,color,0.9662273085478982
LQH4vp7,features,content,0.7225950782997762
LQH4vp7,features,design_judge,0.6749999999999999
LQH4vp7,pricing,structure,0.7884229576938909
LQH4vp7,pricing,color,0.9772673524415711
LQH4vp7,pricing,content,0.7102966841186735
LQH4vp7,pricing,design_judge,0.6
LQH4vp7,integrations,structure,0.7898033521251037
LQH4vp7,integrations,color,0.9799612525050855
LQH4vp7,integrations,content,0.6137254901960784
LQH4vp7,integrations,design_judge,0.6499999999999999
LQH4vp7,customers,structure,0.7795684575014789
LQH4vp7,customers,color,0.966503190966208
LQH4vp7,customers,content,0.8383233532934131
LQH4vp7,customers,design_judge,0.775
LQH4vp7,about,structure,0.782346569079452
LQH4vp7,about,color,0.9868682088851377
LQH4vp7,about,content,0.4727272727272728
LQH4vp7,about,design_judge,0.6
LQH4vp7,contact,structure,0.8251427902037601
LQH4vp7,contact,color,0.9808222891536008
LQH4vp7,contact,content,0.822843822843823
LQH4vp7,contact,design_judge,0.775
MPrwRB5,__all__,structure,0.7983408054894959
MPrwRB5,__all__,color,0.9764011623183636
MPrwRB5,__all__,content,0.7203512355827089
MPrwRB5,__all__,design_judge,0.6964285714285714
MPrwRB5,__all__,reward,0.797880443704785
MPrwRB5,index,structure,0.7701501199463274
MPrwRB5,index,color,0.9811225199063317
MPrwRB5,index,content,0.8583569405099151
MPrwRB5,index,design_judge,0.725
MPrwRB5,features,structure,0.8019970594387661
MPrwRB5,features,color,0.9774754109614869
MPrwRB5,features,content,0.7570621468926554
MPrwRB5,features,design_judge,0.6749999999999999
MPrwRB5,pricing,structure,0.7774847102124707
MPrwRB5,pricing,color,0.9683277868684445
MPrwRB5,pricing,content,0.7296360485268629
MPrwRB5,pricing,design_judge,0.6
MPrwRB5,integrations,structure,0.8081705437005
MPrwRB5,integrations,color,0.975982331418971
MPrwRB5,integrations,content,0.5717131474103585
MPrwRB5,integrations,design_judge,0.6499999999999999
MPrwRB5,customers,structure,0.795441611335744
MPrwRB5,customers,color,0.9664804361760572
MPrwRB5,customers,content,0.8467966573816155
MPrwRB5,customers,design_judge,0.8500000000000001
MPrwRB5,about,structure,0.8114157637331929
MPrwRB5,about,color,0.9877223623129511
MPrwRB5,about,content,0.48224299065420556
MPrwRB5,about,design_judge,0.6
MPrwRB5,contact,structure,0.82372583005947
MPrwRB5,contact,color,0.9776972885843037
MPrwRB5,contact,content,0.7966507177033493
MPrwRB5,contact,design_judge,0.775
MdSego7,__all__,structure,0.776091522278992
MdSego7,__all__,color,0.9703756192598975
MdSego7,__all__,content,0.6435543956342272
MdSego7,__all__,design_judge,0.6714285714285715
MdSego7,__all__,reward,0.765362527150422
MdSego7,index,structure,0.7542111572646852
MdSego7,index,color,0.9662238131293791
MdSego7,index,content,0.651085141903172
MdSego7,index,design_judge,0.75
MdSego7,features,structure,0.7909934525166742
MdSego7,features,color,0.9655162326383345
MdSego7,features,content,0.7731481481481483
MdSego7,features,design_judge,0.7
MdSego7,pricing,structure,0.7710004954966656
MdSego7,pricing,color,0.9786910981402197
MdSego7,pricing,content,0.5861027190332327
MdSego7,pricing,design_judge,0.6
MdSego7,integrations,structure,0.7773462151016299
MdSego7,integrations,color,0.9678664450934359
MdSego7,integrations,content,0.5410628019323671
MdSego7,integrations,design_judge,0.55
MdSego7,customers,structure,0.7488517641503194
MdSego7,customers,color,0.9519921581692488
MdSego7,customers,content,0.787037037037037
MdSego7,customers,design_judge,0.8
MdSego7,about,structure,0.7683990469912352
MdSego7,about,color,0.9834351035403863
MdSego7,about,content,0.5052878965922445
MdSego7,about,design_judge,0.55
MdSego7,contact,structure,0.8218385244317351
MdSego7,contact,color,0.9789044841082782
MdSego7,contact,content,0.6611570247933884
MdSego7,contact,design_judge,0.75
Q8kF9GB,__all__,structure,0.7936055002627469
Q8kF9GB,__all__,color,0.9747167574337434
Q8kF9GB,__all__,content,0.6887079552443834
Q8kF9GB,__all__,design_judge,0.6857142857142857
Q8kF9GB,__all__,reward,0.7856861246637898
Q8kF9GB,index,structure,0.7571985062523081
Q8kF9GB,index,color,0.9759831482241677
Q8kF9GB,index,content,0.6600985221674878
Q8kF9GB,index,design_judge,0.7
Q8kF9GB,features,structure,0.7987020658078053
Q8kF9GB,features,color,0.9725465887657201
Q8kF9GB,features,content,0.7133027522935779
Q8kF9GB,features,design_judge,0.6749999999999999
Q8kF9GB,pricing,structure,0.7912901405326077
Q8kF9GB,pricing,color,0.9777847047572386
Q8kF9GB,pricing,content,0.7362068965517242
Q8kF9GB,pricing,design_judge,0.6
Q8kF9GB,integrations,structure,0.8047930260813034
Q8kF9GB,integrations,color,0.969372559259338
Q8kF9GB,integrations,content,0.5776105362182502
Q8kF9GB,integrations,design_judge,0.6499999999999999
Q8kF9GB,customers,structure,0.7685219237090701
Q8kF9GB,customers,color,0.9624471821825021
Q8kF9GB,customers,content,0.8461538461538461
Q8kF9GB,customers,design_judge,0.8
Q8kF9GB,about,structure,0.8136311630397399
Q8kF9GB,about,color,0.9839058561537652
Q8kF9GB,about,content,0.483732351135666
Q8kF9GB,about,design_judge,0.6
Q8kF9GB,contact,structure,0.8211016764163934
Q8kF9GB,contact,color,0.9809772626934721
Q8kF9GB,contact,content,0.8038507821901323
Q8kF9GB,contact,design_judge,0.775
RtQUVPT,__all__,structure,0.7805717757098166
RtQUVPT,__all__,color,0.972083104203506
RtQUVPT,__all__,content,0.6774070896855028
RtQUVPT,__all__,design_judge,0.7142857142857143
RtQUVPT,__all__,reward,0.7860869209711349
RtQUVPT,index,structure,0.7506441274038042
RtQUVPT,index,color,0.9755429833378174
RtQUVPT,index,content,0.6787479406919276
RtQUVPT,index,design_judge,0.8500000000000001
RtQUVPT,features,structure,0.7838691617620233
RtQUVPT,features,color,0.9609622476218287
RtQUVPT,features,content,0.7136465324384789
RtQUVPT,features,design_judge,0.6499999999999999
RtQUVPT,pricing,structure,0.7727679189861046
RtQUVPT,pricing,color,0.9767180259858601
RtQUVPT,pricing,content,0.7174280879864635
RtQUVPT,pricing,design_judge,0.625
RtQUVPT,integrations,structure,0.7943699154798844
RtQUVPT,integrations,color,0.9664736219598835
RtQUVPT,integrations,content,0.5559701492537314
RtQUVPT,integrations,design_judge,0.6749999999999999
RtQUVPT,customers,structure,0.7594388443881851
RtQUVPT,customers,color,0.9711156164311638
RtQUVPT,customers,content,0.8202080237741456
RtQUVPT,customers,design_judge,0.75
RtQUVPT,about,structure,0.7815332827953897
RtQUVPT,about,color,0.980367824831021
RtQUVPT,about,content,0.4597560975609756
RtQUVPT,about,design_judge,0.6
RtQUVPT,contact,structure,0.8213791791533249
RtQUVPT,contact,color,0.973401409256967
RtQUVPT,contact,content,0.7960927960927962
RtQUVPT,contact,design_judge,0.8500000000000001
XHwxNcB,__all__,structure,0.7862887028090115
XHwxNcB,__all__,color,0.9806898196873711
XHwxNcB,__all__,content,0.6269230304068472
XHwxNcB,__all__,design_judge,0.6928571428571428
XHwxNcB,__all__,reward,0.7716896739400931
XHwxNcB,index,structure,0.7757289888050526
XHwxNcB,index,color,0.9712752545728897
XHwxNcB,index,content,0.6482084690553745
XHwxNcB,index,design_judge,0.775
XHwxNcB,features,structure,0.7942829956941503
XHwxNcB,features,color,0.9693628099871475
XHwxNcB,features,content,0.7469342251950947
XHwxNcB,features,design_judge,0.7
XHwxNcB,pricing,structure,0.7847694046541519
XHwxNcB,pricing,color,0.9800165364257722
XHwxNcB,pricing,content,0.5811789038262669
XHwxNcB,pricing,design_judge,0.625
XHwxNcB,integrations,structure,0.7898018458551644
XHwxNcB,integrations,color,0.9860388272251891
XHwxNcB,integrations,content,0.5454545454545454
XHwxNcB,integrations,design_judge,0.6
XHwxNcB,customers,structure,0.7718870699217913
XHwxNcB,customers,color,0.9832674928142034
XHwxNcB,customers,content,0.7538461538461538
XHwxNcB,customers,design_judge,0.75
XHwxNcB,about,structure,0.7673299148072367
XHwxNcB,about,color,0.9870862249736216
XHwxNcB,about,content,0.49880382775119614
XHwxNcB,about,design_judge,0.6
XHwxNcB,contact,structure,0.8202206999255329
XHwxNcB,contact,color,0.9877815918127743
XHwxNcB,contact,content,0.6140350877192983
XHwxNcB,contact,design_judge,0.8
eJxPX9H,__all__,structure,0.7855202757576057
eJxPX9H,__all__,color,0.9728519175940674
eJxPX9H,__all__,content,0.7142461549695511
eJxPX9H,__all__,design_judge,0.6892857142857143
eJxPX9H,__all__,reward,0.7904760156517346
eJxPX9H,index,structure,0.7761045293631745
eJxPX9H,index,color,0.9769764720308627
eJxPX9H,index,content,0.830584707646177
eJxPX9H,index,design_judge,0.75
eJxPX9H,features,structure,0.7958837461740758
eJxPX9H,features,color,0.9649055631620524
eJxPX9H,features,content,0.7214611872146119
eJxPX9H,features,design_judge,0.6749999999999999
eJxPX9H,pricing,structure,0.7742114415387668
eJxPX9H,pricing,color,0.9705873432406645
eJxPX9H,pricing,content,0.717206132879046
eJxPX9H,pricing,design_judge,0.6
eJxPX9H,integrations,structure,0.8045695969247556
eJxPX9H,integrations,color,0.9741619355349185
eJxPX9H,integrations,content,0.5977212971078002
eJxPX9H,integrations,design_judge,0.6499999999999999
eJxPX9H,customers,structure,0.7770004037788719
eJxPX9H,customers,color,0.9628488093123879
eJxPX9H,customers,content,0.826151560178306
eJxPX9H,customers,design_judge,0.8
eJxPX9H,about,structure,0.761932304025978
eJxPX9H,about,color,0.9811126636045473
eJxPX9H,about,content,0.4216634429400387
eJxPX9H,about,design_judge,0.6
eJxPX9H,contact,structure,0.8089399084976169
eJxPX9H,contact,color,0.9793706362730386
eJxPX9H,contact,content,0.8849347568208779
eJxPX9H,contact,design_judge,0.75
gddxyCa,__all__,structure,0.8038775045226814
gddxyCa,__all__,color,0.978319760649746
gddxyCa,__all__,content,0.7087792894705147
gddxyCa,__all__,design_judge,0.7071428571428572
gddxyCa,__all__,reward,0.7995298529464498
gddxyCa,index,structure,0.8231312684577078
gddxyCa,index,color,0.9789688297705038
gddxyCa,index,content,0.8559077809798271
gddxyCa,index,design_judge,0.75
gddxyCa,features,structure,0.8103194380090233
gddxyCa,features,color,0.9755522536456819
gddxyCa,features,content,0.7178899082568807
gddxyCa,features,design_judge,0.6749999999999999
gddxyCa,pricing,structure,0.7952655439629069
gddxyCa,pricing,color,0.9801923098418722
gddxyCa,pricing,content,0.6875559534467324
gddxyCa,pricing,design_judge,0.7
gddxyCa,integrations,structure,0.8031462852263096
gddxyCa,integrations,color,0.9829713879974441
gddxyCa,integrations,content,0.5725190839694656
gddxyCa,integrations,design_judge,0.6499999999999999
gddxyCa,customers,structure,0.7968639684415528
gddxyCa,customers,color,0.9699525359119484
gddxyCa,customers,content,0.847457627118644
gddxyCa,customers,design_judge,0.775
gddxyCa,about,structure,0.7710746307581824
gddxyCa,about,color,0.9830546348429332
gddxyCa,about,content,0.46248462484624847
gddxyCa,about,design_judge,0.6
gddxyCa,contact,structure,0.8273413968030863
gddxyCa,contact,color,0.9775463725378386
gddxyCa,contact,content,0.8176400476758046
gddxyCa,contact,design_judge,0.8
wbmycsL,__all__,structure,0.8085655536057879
wbmycsL,__all__,color,0.9767699204746697
wbmycsL,__all__,content,0.7295432346909873
wbmycsL,__all__,design_judge,0.6892857142857143
wbmycsL,__all__,reward,0.8010411057642897
wbmycsL,index,structure,0.8123802081496291
wbmycsL,index,color,0.9768980675333233
wbmycsL,index,content,0.8788732394366197
wbmycsL,index,design_judge,0.75
wbmycsL,features,structure,0.8127371100050413
wbmycsL,features,color,0.9648937317561203
