trial_id,page,term,value
FtyeZRs,__all__,structure,0.8067244100875423
FtyeZRs,__all__,color,0.9771322903531369
FtyeZRs,__all__,content,0.6702483864541369
FtyeZRs,__all__,design_judge,0.6849999999999999
FtyeZRs,__all__,reward,0.784776271723704
FtyeZRs,index,structure,0.8051216430204491
FtyeZRs,index,color,0.9849524401606905
FtyeZRs,index,content,0.8962962962962964
FtyeZRs,index,design_judge,0.75
FtyeZRs,mission,structure,0.8082959511820887
FtyeZRs,mission,color,0.9757755155341932
FtyeZRs,mission,content,0.5322777101096225
FtyeZRs,mission,design_judge,0.7
FtyeZRs,programs,structure,0.7882255782899347
FtyeZRs,programs,color,0.9653563347306411
FtyeZRs,programs,content,0.6047393364928909
FtyeZRs,programs,design_judge,0.6749999999999999
FtyeZRs,donate,structure,0.7980233648318853
FtyeZRs,donate,color,0.9806735285632039
FtyeZRs,donate,content,0.6697490092470277
FtyeZRs,donate,design_judge,0.7
FtyeZRs,impact,structure,0.8244584795560731
FtyeZRs,impact,color,0.9758877335711418
FtyeZRs,impact,content,0.5931417979610751
FtyeZRs,impact,design_judge,0.7
FtyeZRs,volunteer,structure,0.8069353256501782
FtyeZRs,volunteer,color,0.9804734841281854
FtyeZRs,volunteer,content,0.5343303874915023
FtyeZRs,volunteer,design_judge,0.6
FtyeZRs,events,structure,0.7912332820090471
FtyeZRs,events,color,0.9774387404446461
FtyeZRs,events,content,0.5522514868309262
FtyeZRs,events,design_judge,0.625
FtyeZRs,news,structure,0.7980111308263697
FtyeZRs,news,color,0.9719774884932323
FtyeZRs,news,content,0.6139630390143737
FtyeZRs,news,design_judge,0.6499999999999999
FtyeZRs,partners,structure,0.8294611963956229
FtyeZRs,partners,color,0.9794773322964073
FtyeZRs,partners,content,0.8483221476510067
FtyeZRs,partners,design_judge,0.7
FtyeZRs,contact,structure,0.8174781491137734
FtyeZRs,contact,color,0.9793103056090264
FtyeZRs,contact,content,0.8574126534466477
FtyeZRs,contact,design_judge,0.75
JjLBhMf,__all__,structure,0.8243788518856501
JjLBhMf,__all__,color,0.9665824658175992
JjLBhMf,__all__,content,0.6437633717152025
JjLBhMf,__all__,design_judge,0.6675
JjLBhMf,__all__,reward,0.7755561723546129
