trial_id,page,term,value
3M4CAXn,__all__,structure,0.7739698999872744
3M4CAXn,__all__,color,0.9744604981741253
3M4CAXn,__all__,content,0.5451384488625555
3M4CAXn,__all__,design_judge,0.695
3M4CAXn,__all__,reward,0.7471422117559887
3M4CAXn,index,structure,0.7856228817386486
3M4CAXn,index,color,0.9722338811660118
3M4CAXn,index,content,0.6781750924784217
3M4CAXn,index,design_judge,0.7
3M4CAXn,services,structure,0.7717554299842363
3M4CAXn,services,color,0.9754160969455722
3M4CAXn,services,content,0.44987363100252736
3M4CAXn,services,design_judge,0.675
3M4CAXn,pricing,structure,0.7743581955412843
3M4CAXn,pricing,color,0.9664159723071104
3M4CAXn,pricing,content,0.5850796311818943
3M4CAXn,pricing,design_judge,0.7
3M4CAXn,about,structure,0.7713877729169137
3M4CAXn,about,color,0.9736035309450494
3M4CAXn,about,content,0.40174039158810737
3M4CAXn,about,design_judge,0.7
3M4CAXn,contact,structure,0.7819537631173242
3M4CAXn,contact,color,0.9784703288486882
3M4CAXn,contact,content,0.8191881918819188
3M4CAXn,contact,design_judge,0.75
3M4CAXn,areas,structure,0.7758198035260997
3M4CAXn,areas,color,0.9769521921349581
3M4CAXn,areas,content,0.4690117252931323
3M4CAXn,areas,design_judge,0.7
3M4CAXn,gallery,structure,0.7903828087003044
3M4CAXn,gallery,color,0.9714415996953536
3M4CAXn,gallery,content,0.4549653579676674
3M4CAXn,gallery,design_judge,0.625
3M4CAXn,reviews,structure,0.7369581055443872
3M4CAXn,reviews,color,0.9736444420744709
3M4CAXn,reviews,content,0.4888569374550683
3M4CAXn,reviews,design_judge,0.7
3M4CAXn,booking,structure,0.7734687966931544
3M4CAXn,booking,color,0.9796980970997371
3M4CAXn,booking,content,0.5452609158679446
3M4CAXn,booking,design_judge,0.7
3M4CAXn,faq,structure,0.7779914421103914
3M4CAXn,faq,color,0.9767288405243008
3M4CAXn,faq,content,0.5592326139088728
3M4CAXn,faq,design_judge,0.7
