trial_id,page,term,value
3qPLxTL,__all__,structure,0.7853873617662573
3qPLxTL,__all__,color,0.9608561713746486
3qPLxTL,__all__,content,0.6755142399009745
3qPLxTL,__all__,design_judge,0.73
3qPLxTL,__all__,reward,0.7879394432604702
3qPLxTL,index,structure,0.8143242865107315
3qPLxTL,index,color,0.9660054601340803
3qPLxTL,index,content,0.882703777335984
3qPLxTL,index,design_judge,0.75
3qPLxTL,guides,structure,0.7779623952501847
3qPLxTL,guides,color,0.9573941843074449
3qPLxTL,guides,content,0.5832656376929326
3qPLxTL,guides,design_judge,0.6499999999999999
3qPLxTL,reference,structure,0.7242359141497957
3qPLxTL,reference,color,0.9563835794620791
3qPLxTL,reference,content,0.3638275499474238
3qPLxTL,reference,design_judge,0.75
3qPLxTL,examples,structure,0.7980671943650374
3qPLxTL,examples,color,0.9605973632558111
3qPLxTL,examples,content,0.8744186046511628
3qPLxTL,examples,design_judge,0.75
3qPLxTL,support,structure,0.8123470185555376
3qPLxTL,support,color,0.9639002697138277
3qPLxTL,support,content,0.673355629877369
3qPLxTL,support,design_judge,0.75
DDgGMbK,__all__,structure,0.7684608295877239
DDgGMbK,__all__,color,0.9570560610432354
DDgGMbK,__all__,content,0.6600145015733653
DDgGMbK,__all__,design_judge,0.745
DDgGMbK,__all__,reward,0.7826328480510811
DDgGMbK,index,structure,0.7995934391954068
DDgGMbK,index,color,0.9548694086397952
DDgGMbK,index,content,0.875
DDgGMbK,index,design_judge,0.75
DDgGMbK,guides,structure,0.7616858506891896
DDgGMbK,guides,color,0.954469066466258
DDgGMbK,guides,content,0.5237668161434977
DDgGMbK,guides,design_judge,0.6499999999999999
DDgGMbK,reference,structure,0.713623803265307
DDgGMbK,reference,color,0.9612342787639259
DDgGMbK,reference,content,0.4181256436663234
DDgGMbK,reference,design_judge,0.75
DDgGMbK,examples,structure,0.7649284237783734
DDgGMbK,examples,color,0.9586242856467985
DDgGMbK,examples,content,0.8209876543209876
DDgGMbK,examples,design_judge,0.75
DDgGMbK,support,structure,0.8024726310103426
DDgGMbK,support,color,0.9560832656993996
DDgGMbK,support,content,0.6621923937360179
DDgGMbK,support,design_judge,0.8250000000000001
H4YVNtK,__all__,structure,0.7844889909744297
H4YVNtK,__all__,color,0.9599567138546258
H4YVNtK,__all__,content,0.7155171456304169
H4YVNtK,__all__,design_judge,0.71
H4YVNtK,__all__,reward,0.7924907126148681
H4YVNtK,index,structure,0.8152382541383626
H4YVNtK,index,color,0.9674700447136145
H4YVNtK,index,content,0.9500000000000001
H4YVNtK,index,design_judge,0.8
H4YVNtK,guides,structure,0.7939515262842619
H4YVNtK,guides,color,0.954460580756243
H4YVNtK,guides,content,0.5463414634146342
H4YVNtK,guides,design_judge,0.6
H4YVNtK,reference,structure,0.6998710828491836
H4YVNtK,reference,color,0.9528749364543565
H4YVNtK,reference,content,0.3240093240093241
H4YVNtK,reference,design_judge,0.7
H4YVNtK,examples,structure,0.7920156173161097
H4YVNtK,examples,color,0.9571504884272538
H4YVNtK,examples,content,0.8226059654631084
H4YVNtK,examples,design_judge,0.725
H4YVNtK,support,structure,0.8213684742842308
H4YVNtK,support,color,0.9678275189216613
